# CFTC public record (grade-A leg, board 2026-09-14); knowable_at = report Tuesday + 3 days (point-in-time rule).
report_date,contract_market_name,open_interest_all,lev_money_long,lev_money_short,asset_mgr_long,asset_mgr_short,lev_money_net,knowable_at
2024-04-09,Nano Bitcoin,31048,1842,17717,0,0,-15875.0,2024-04-12
2024-04-16,BITCOIN,29526,2653,17836,18898,632,-15183.0,2024-04-19
2024-04-16,MICRO BITCOIN,17021,3838,9072,741,68,-5234.0,2024-04-19
2024-04-16,Nano Bitcoin,31565,2934,16162,0,0,-13228.0,2024-04-19
2024-04-23,BITCOIN,27932,2566,19059,19010,517,-16493.0,2024-04-26
2024-04-23,MICRO BITCOIN,21148,3250,13121,654,49,-9871.0,2024-04-26
2024-04-23,Nano Bitcoin,31088,2940,13127,0,0,-10187.0,2024-04-26
2024-04-30,BITCOIN,24795,2061,16525,16882,421,-14464.0,2024-05-03
2024-04-30,MICRO BITCOIN,12318,2447,3559,688,29,-1112.0,2024-05-03
2024-04-30,Nano Bitcoin,24769,644,9377,0,0,-8733.0,2024-05-03
2024-05-07,BITCOIN,26155,1899,17120,17255,476,-15221.0,2024-05-10
2024-05-07,MICRO BITCOIN,19478,7929,7456,782,25,473.0,2024-05-10
2024-05-07,Nano Bitcoin,24740,5,8324,0,0,-8319.0,2024-05-10
2024-05-14,BITCOIN,27077,1833,17479,16904,518,-15646.0,2024-05-17
2024-05-14,MICRO BITCOIN,21965,8472,12322,708,46,-3850.0,2024-05-17
2024-05-14,Nano Bitcoin,26776,502,13563,0,0,-13061.0,2024-05-17
2024-05-21,BITCOIN,30694,2332,19154,18734,706,-16822.0,2024-05-24
2024-05-21,MICRO BITCOIN,31540,12533,21661,719,0,-9128.0,2024-05-24
2024-05-21,Nano Bitcoin,27765,3027,9370,0,0,-6343.0,2024-05-24
2024-05-28,BITCOIN,30255,2140,19191,18594,773,-17051.0,2024-05-31
2024-05-28,MICRO BITCOIN,32606,13004,22712,2884,43,-9708.0,2024-05-31
2024-05-28,Nano Bitcoin,30817,3973,12531,0,0,-8558.0,2024-05-31
2024-06-04,BITCOIN,31086,3326,21276,18527,636,-17950.0,2024-06-07
2024-06-04,MICRO BITCOIN,22799,4411,18201,2998,13,-13790.0,2024-06-07
2024-06-04,Nano Bitcoin,24334,570,8857,0,0,-8287.0,2024-06-07
2024-06-11,BITCOIN,30503,2402,20045,18482,591,-17643.0,2024-06-14
2024-06-11,MICRO BITCOIN,27265,8878,22045,2926,0,-13167.0,2024-06-14
2024-06-11,Nano Bitcoin,35652,134,23187,0,0,-23053.0,2024-06-14
2024-06-18,BITCOIN,30627,2477,19548,17911,654,-17071.0,2024-06-21
2024-06-18,MICRO BITCOIN,28644,10899,23100,2991,0,-12201.0,2024-06-21
2024-06-18,Nano Bitcoin,36761,725,25256,0,0,-24531.0,2024-06-21
2024-06-25,BITCOIN,30171,1655,18592,17398,493,-16937.0,2024-06-28
2024-06-25,MICRO BITCOIN,24927,9282,16676,2803,10,-7394.0,2024-06-28
