# CFTC public record (grade-A leg, board 2026-09-14); knowable_at = report Tuesday + 3 days (point-in-time rule).
report_date,contract_market_name,open_interest_all,lev_money_long,lev_money_short,asset_mgr_long,asset_mgr_short,lev_money_net,knowable_at
2024-01-23,NANO ETHER,7638,242,2926,0,0,-2684.0,2024-01-26
2024-01-30,ETHER CASH SETTLED,5141,1812,3706,1278,34,-1894.0,2024-02-02
2024-01-30,MICRO ETHER,15161,3009,5402,1394,1557,-2393.0,2024-02-02
2024-01-30,NANO ETHER,5681,210,1198,0,0,-988.0,2024-02-02
2024-02-06,ETHER CASH SETTLED,5668,1949,4312,1271,33,-2363.0,2024-02-09
2024-02-06,MICRO ETHER,17084,3710,5778,1356,1645,-2068.0,2024-02-09
2024-02-06,NANO ETHER,5815,76,1917,0,0,-1841.0,2024-02-09
2024-02-13,ETHER CASH SETTLED,6449,2339,4369,1563,34,-2030.0,2024-02-16
2024-02-13,MICRO ETHER,18346,5382,5032,1459,1737,350.0,2024-02-16
2024-02-13,NANO ETHER,7165,219,5236,0,0,-5017.0,2024-02-16
2024-02-20,ETHER CASH SETTLED,6749,2422,4259,1747,0,-1837.0,2024-02-23
2024-02-20,MICRO ETHER,23224,9544,8220,1306,1621,1324.0,2024-02-23
2024-02-20,NANO ETHER,10524,119,6617,0,0,-6498.0,2024-02-23
2024-02-27,ETHER CASH SETTLED,6564,2656,4062,1756,29,-1406.0,2024-03-01
2024-02-27,MICRO ETHER,27250,11028,5723,1564,1836,5305.0,2024-03-01
2024-02-27,NANO ETHER,12542,2327,355,0,0,1972.0,2024-03-01
2024-03-05,ETHER CASH SETTLED,7471,2715,3782,1891,26,-1067.0,2024-03-08
2024-03-05,MICRO ETHER,47400,23625,5857,1982,1376,17768.0,2024-03-08
2024-03-05,NANO ETHER,12570,1286,1591,0,0,-305.0,2024-03-08
2024-03-12,ETHER CASH SETTLED,7239,2747,3999,1866,0,-1252.0,2024-03-15
2024-03-12,MICRO ETHER,51845,27380,7163,2184,1194,20217.0,2024-03-15
2024-03-12,NANO ETHER,15844,1693,2757,0,0,-1064.0,2024-03-15
2024-03-19,ETHER CASH SETTLED,7366,3723,3924,1464,0,-201.0,2024-03-22
2024-03-19,MICRO ETHER,49906,29004,6593,1629,1489,22411.0,2024-03-22
2024-03-19,NANO ETHER,15927,2089,8980,0,0,-6891.0,2024-03-22
2024-03-26,ETHER CASH SETTLED,7180,3201,3503,1494,0,-302.0,2024-03-29
2024-03-26,MICRO ETHER,46054,25373,6218,1259,1238,19155.0,2024-03-29
2024-03-26,NANO ETHER,15100,1980,5589,0,0,-3609.0,2024-03-29
2024-04-02,ETHER CASH SETTLED,6498,2902,3360,1436,40,-458.0,2024-04-05
2024-04-02,MICRO ETHER,21527,6683,6778,1442,1269,-95.0,2024-04-05
2024-04-02,NANO ETHER,14208,345,4952,0,0,-4607.0,2024-04-05
